No,ID,Fullname,Class,doB,Gender
1,19125001,Pham Thien Long 1,19APCS1,20010105,Male
2,19125002,Pham Thien Long 2,19APCS1,20010106,Female
3,19126003,Pham Thien Long 3,19APCS1,20010107,Male
4,19126004,Pham Thien Long 4,19APCS1,20010108,Female
5,19127005,Pham Thien Long 5,19APCS1,20010109,Male
6,19127006,Pham Thien Long 6,19APCS1,20010110,Female
7,19125007,Pham Thien Long 7,19APCS1,20010111,Male
8,19125008,Pham Thien Long 8,19APCS1,20010112,Female
9,19125009,Pham Thien Long 9,19APCS1,20010113,Female
10,19125010,Pham Thien Long 10,19APCS1,20010114,Female
11,19125011,Nguyen Dinh Khanh 1,19APCS2,20010115,Male
12,19125012,Nguyen Dinh Khanh 2,19APCS2,20010116,Male
13,19125013,Nguyen Dinh Khanh 3,19APCS2,20010117,Female
14,19125014,Nguyen Dinh Khanh 4,19APCS2,20010118,Male
15,19125015,Nguyen Dinh Khanh 5,19APCS2,20010119,Male
16,19125016,Nguyen Dinh Khanh 6,19APCS2,20010120,Female
17,19125017,Nguyen Dinh Khanh 7,19APCS2,20010121,Male
18,19125018,Nguyen Dinh Khanh 8,19APCS2,20010122,Male
19,19125019,Nguyen Dinh Khanh 9,19APCS2,20010123,Male
20,19125020,Nguyen Dinh Khanh 10,19APCS2,20010124,Male
21,19125021,Ho Ngoc Ton 1,19CLC1,20010125,Female
22,19125022,Ho Ngoc Ton 2,19CLC1,20010126,Male
23,19125023,Ho Ngoc Ton 3,19CLC1,20010127,Male
24,19125024,Ho Ngoc Ton 4,19CLC1,20010128,Female
25,19125025,Ho Ngoc Ton 5,19CLC1,20010129,Male
26,19125026,Ho Ngoc Ton 6,19CLC1,20010130,Male
27,19125027,Ho Ngoc Ton 7,19CLC1,20010131,Male
28,19125028,Ho Ngoc Ton 8,19CLC1,20010132,Male
29,19125029,Ho Ngoc Ton 9,19CLC1,20010133,Female
30,19125030,Ho Ngoc Ton 10,19CLC1,20010134,Female
31,19125031,Phan Dinh Huy 1,19CLC2,20010135,Female
32,19125032,Phan Dinh Huy 2,19CLC2,20010136,Male
33,19125033,Phan Dinh Huy 3,19CLC2,20010137,Male
34,19125034,Phan Dinh Huy 4,19CLC2,20010138,Female
35,19125035,Phan Dinh Huy 5,19CLC2,20010139,Male
36,19125036,Phan Dinh Huy 6,19CLC2,20010140,Male
37,19125037,Phan Dinh Huy 7,19CLC2,20010141,Female
38,19125038,Phan Dinh Huy 8,19CLC2,20010142,Male
39,19125039,Phan Dinh Huy 9,19CLC2,20010143,Male
40,19125040,Phan Dinh Huy 10,19CLC2,20010144,Male
41,19125041,Mai Quoc Khanh 1,19CLC3,20010145,Male
42,19125042,Mai Quoc Khanh 2,19CLC3,20010146,Female
43,19125043,Mai Quoc Khanh 3,19CLC3,20010147,Male
44,19125044,Mai Quoc Khanh 4,19CLC3,20010148,Male
45,19125045,Mai Quoc Khanh 5,19CLC3,20010149,Female
46,19125046,Mai Quoc Khanh 6,19CLC3,20010150,Male
47,19125047,Mai Quoc Khanh 7,19CLC3,20010151,Male
48,19125048,Mai Quoc Khanh 8,19CLC3,20010152,Male
49,19125049,Mai Quoc Khanh 9,19CLC3,20010153,Male
50,19125050,Mai Quoc Khanh 10,19CLC3,20010154,Female
51,19125051,Tran Thanh Tam 1,19CLC4,20010155,Female
52,19125052,Tran Thanh Tam 2,19CLC4,20010156,Female
53,19125053,Tran Thanh Tam 3,19CLC4,20010157,Male
54,19125054,Tran Thanh Tam 4,19CLC4,20010158,Male
55,19125055,Tran Thanh Tam 5,19CLC4,20010159,Female
56,19125056,Tran Thanh Tam 6,19CLC4,20010160,Male
57,19125057,Tran Thanh Tam 7,19CLC4,20010161,Male
58,19125058,Tran Thanh Tam 8,19CLC4,20010162,Female
59,19125059,Tran Thanh Tam 9,19CLC4,20010163,Male
60,19125060,Tran Thanh Tam 10,19CLC4,20010164,Male
61,19125061,Ngo Ba Kha 1,19CLC5,20010165,Male
62,19125062,Ngo Ba Kha 2,19CLC5,20010166,Male
63,19125063,Ngo Ba Kha 3,19CLC5,20010167,Female
64,19125064,Ngo Ba Kha 4,19CLC5,20010168,Male
65,19125065,Ngo Ba Kha 5,19CLC5,20010169,Male
66,19125066,Ngo Ba Kha 6,19CLC5,20010170,Female
67,19125067,Ngo Ba Kha 7,19CLC5,20010171,Male
68,19125068,Ngo Ba Kha 8,19CLC5,20010172,Male
69,19125069,Ngo Ba Kha 9,19CLC5,20010173,Male
70,19125070,Ngo Ba Kha 10,19CLC5,20010174,Male
71,19125071,Tran Duc Bo 1,19CLC6,20010175,Female
72,19125072,Tran Duc Bo 2,19CLC6,20010176,Female
73,19125073,Tran Duc Bo 3,19CLC6,20010177,Female
74,19125074,Tran Duc Bo 4,19CLC6,20010178,Male
75,19125075,Tran Duc Bo 5,19CLC6,20010179,Male
76,19125076,Tran Duc Bo 6,19CLC6,20010180,Female
77,19125077,Tran Duc Bo 7,19CLC6,20010181,Male
78,19125078,Tran Duc Bo 8,19CLC6,20010182,Male
79,19125079,Tran Duc Bo 9,19CLC6,20010183,Female
80,19125080,Tran Duc Bo 10,19CLC6,20010184,Male
